#the gain was set to: 2	the bias was set to: 30	the tbmplldelay was set to: 0	the tbmadelay was set to: 0
#Sent triggers: 100	and with a frequency [Hz] of: 40000
#RocNr	ColAddr	RowAddr	PixelHight
16	43	30	6
14	45	0	10
6	49	1	23
16	43	30	9
16	48	43	11
14	47	0	21
10	47	2	15
16	43	30	6
16	48	43	12
16	43	30	6
6	48	0	21
16	48	43	12
14	45	0	12
16	43	30	6
16	43	30	5
14	47	0	20
9	39	63	0
16	43	30	7
6	49	2	22
16	48	43	8
16	43	30	4
16	43	30	3
16	43	30	5
16	43	30	6
16	43	30	5
14	49	0	17
16	48	43	10
6	48	0	22
10	33	0	25
16	43	30	6
16	43	30	5
6	50	1	22
16	43	30	4
16	43	30	5
16	43	30	6
10	50	0	25
16	43	30	6
16	48	43	12
16	48	43	9
16	43	30	6
16	48	43	13
14	45	0	10
14	45	0	9
14	45	0	12
16	48	43	10
16	48	43	9
9	39	63	0
16	43	30	6
16	43	30	5
16	43	30	5
16	43	30	7
16	43	30	6
16	43	30	6
16	48	43	7
16	48	43	9
6	48	0	28
14	50	0	8
16	43	30	5
16	43	30	5
14	45	0	9
10	50	0	25
16	43	30	6
16	43	30	6
16	43	30	5
16	43	30	5
16	48	43	9
10	50	0	25
16	43	30	5
10	49	0	18
16	48	43	9
16	43	30	3
16	43	30	6
16	43	30	5
16	43	30	5
16	48	43	10
16	43	30	5
16	43	30	5
16	48	43	12
16	43	30	5
10	47	1	15
14	45	0	12
16	43	30	8
16	48	43	9
14	47	0	21
16	43	30	4
10	30	0	15
16	43	30	5
14	50	0	12
16	43	30	5
9	49	52	0
16	43	30	4
16	48	43	11
16	48	43	9
16	48	43	12
6	50	1	22
16	43	30	5
10	50	0	24
16	48	43	9
10	30	0	18
16	43	30	5
16	43	30	3
14	49	0	18
10	50	0	25
16	48	43	9
16	43	30	7
16	43	30	5
6	48	0	25
6	45	1	25
16	43	30	7
14	45	0	13
16	43	30	5
16	48	43	10
16	48	43	11
16	43	30	6
16	43	30	5
16	43	30	5
16	43	30	4
16	43	30	5
16	43	30	5
16	43	30	5
10	47	1	15
9	39	63	0
16	43	30	5
16	48	43	12
16	43	30	5
16	43	30	6
14	47	0	21
16	43	30	5
16	43	30	6
16	43	30	5
6	49	1	22
16	48	43	12
16	48	43	12
16	43	30	5
16	48	43	9
16	48	43	9
16	43	30	7
16	43	30	9
16	48	43	9
14	45	0	10
16	48	43	10
16	43	30	5
16	43	30	7
6	33	0	23
16	43	30	6
16	43	30	6
16	43	30	4
16	43	30	5
16	48	43	10
16	48	43	9
16	43	30	5
10	50	0	25
16	48	43	9
16	48	43	9
16	48	43	10
16	48	43	10
16	48	43	13
16	43	30	5
16	43	30	6
16	43	30	1
16	48	43	12
16	48	43	12
11	2	1	15
16	43	30	5
10	34	0	9
10	47	1	15
9	39	63	0
16	43	30	4
16	43	30	7
16	43	30	5
16	48	43	10
16	43	30	5
10	47	1	17
16	48	43	12
14	50	0	10
16	48	43	12
10	47	0	18
14	45	0	12
16	43	30	8
16	43	30	5
16	48	43	10
16	48	43	9
16	43	30	5
14	42	55	1
16	48	43	12
16	43	30	6
16	43	30	5
6	49	2	21
9	50	29	0
16	48	43	14
16	43	30	4
16	43	30	8
16	43	30	8
16	43	30	7
10	48	2	17
16	43	30	5
16	43	30	4
1	1	1	14
16	43	30	5
16	43	30	5
14	45	0	12
16	48	43	9
1	1	1	12
1	1	1	11
16	43	30	5
16	48	43	10
16	43	30	4
16	43	30	7
16	48	43	12
16	43	30	5
16	48	43	10
10	46	0	23
16	43	30	5
14	45	0	12
14	49	0	18
10	50	0	28
16	48	43	12
16	48	43	12
16	43	30	6
16	43	30	6
6	48	0	25
16	48	43	9
16	48	43	10
16	43	30	4
16	43	30	6
14	45	0	10
14	49	0	21
16	43	30	6
16	43	30	5
16	48	43	9
16	43	30	4
16	48	43	9
14	50	0	9
16	43	30	5
16	43	30	3
16	48	43	10
14	45	0	13
16	43	30	6
16	43	30	6
16	43	30	5
10	50	0	28
16	43	30	6
14	45	0	12
16	48	43	9
16	43	30	5
1	1	1	12
16	48	43	8
16	43	30	5
14	42	55	3
16	43	30	5
16	43	30	5
16	48	43	10
16	43	30	4
14	42	55	4
16	43	30	7
16	43	30	5
16	48	43	13
16	43	30	5
16	48	43	12
16	43	30	5
9	49	52	0
14	45	0	12
16	48	43	12
16	43	30	3
16	48	43	10
16	43	30	6
14	45	0	12
16	43	30	6
14	50	0	9
14	47	0	18
16	43	30	5
16	43	30	7
10	33	0	24
16	48	43	13
16	43	30	4
6	49	2	21
16	43	30	7
16	48	43	9
6	48	0	24
16	43	30	4
14	45	0	12
14	45	0	13
16	43	30	7
16	43	30	3
16	43	30	5
14	45	0	12
16	43	30	6
13	31	28	5
16	43	30	5
16	43	30	5
16	43	30	5
6	49	2	23
16	43	30	8
11	2	1	15
16	45	45	1
16	43	30	5
10	50	0	28
16	48	43	12
16	43	30	5
16	48	43	10
16	43	30	6
16	43	30	4
16	48	43	12
16	48	43	10
16	48	43	10
16	43	30	4
16	43	30	5
16	43	30	6
16	48	43	6
16	43	30	5
13	31	28	5
16	48	43	9
16	48	43	12
16	48	43	13
10	30	0	18
16	43	30	8
16	43	30	5
16	43	30	5
16	43	30	8
16	43	30	5
16	43	30	7
16	43	30	8
1	1	1	12
14	47	0	20
16	43	30	6
16	43	30	4
16	43	30	6
16	48	43	13
16	48	43	9
16	43	30	5
16	43	30	5
11	2	1	15
16	48	43	10
16	43	30	5
16	43	30	5
16	43	30	5
16	48	43	11
16	43	30	5
16	43	30	5
16	43	30	5
14	47	0	21
16	48	43	10
16	43	30	7
14	50	0	8
16	48	43	9
16	48	43	13
16	43	30	5
16	43	30	5
16	48	43	13
16	43	30	5
16	43	30	7
16	48	43	10
16	48	43	12
14	49	0	21
16	43	30	6
16	43	30	5
16	48	43	11
16	48	43	12
16	43	30	5
16	43	30	5
16	43	30	5
16	43	30	5
6	49	2	20
16	43	30	8
13	44	46	1
16	43	30	5
11	2	1	15
16	43	30	5
10	49	1	15
16	43	30	7
10	50	0	25
16	43	30	6
16	43	30	7
16	43	30	5
14	42	55	5
16	43	30	4
16	43	30	6
16	43	30	4
16	43	30	4
16	48	43	12
16	43	30	5
14	45	0	10
16	43	30	8
6	48	0	28
6	50	1	24
16	43	30	6
16	43	30	5
14	47	0	22
16	48	43	9
16	43	30	5
16	48	43	9
16	43	30	4
16	43	30	5
16	43	30	7
10	47	1	15
16	43	30	5
16	48	43	9
16	48	43	10
16	43	30	7
16	48	43	12
10	33	0	22
16	43	30	5
16	48	43	11
16	48	43	13
16	43	30	3
16	48	43	10
14	49	0	21
16	43	30	5
16	43	30	5
10	50	0	25
6	48	0	28
16	48	43	8
16	48	43	9
16	43	30	5
16	43	30	5
16	43	30	4
16	43	30	5
14	45	0	12
16	43	30	5
16	43	30	6
16	43	30	4
14	49	0	24
16	43	30	5
13	31	28	4
11	2	1	13
16	48	43	12
6	48	0	22
16	43	30	5
16	48	43	9
16	43	30	5
16	48	43	9
14	45	0	12
11	2	1	15
16	43	30	5
14	50	0	9
13	31	28	5
16	43	30	5
16	43	30	5
14	49	0	20
16	43	30	5
16	43	30	8
9	50	29	0
16	43	30	5
16	43	30	7
16	48	43	10
16	43	30	5
16	43	30	5
16	43	30	5
14	45	0	11
16	43	30	4
16	43	30	5
16	43	30	6
16	48	43	10
16	43	30	5
16	48	43	9
16	43	30	7
16	43	30	8
16	43	30	5
16	43	30	5
10	50	0	25
16	43	30	6
16	43	30	5
16	43	30	5
14	47	0	21
16	48	43	13
16	43	30	5
16	43	30	5
14	49	0	18
16	43	30	4
16	48	43	10
16	43	30	7
14	45	0	13
16	43	30	7
16	48	43	9
16	48	43	10
16	43	30	6
16	43	30	5
16	43	30	3
16	43	30	5
16	43	30	8
13	31	28	3
16	43	30	5
16	48	43	10
16	43	30	5
16	43	30	4
16	43	30	5
16	43	30	5
16	43	30	5
16	43	30	6
14	50	0	10
16	43	30	5
16	43	30	5
14	47	0	20
16	48	43	12
16	43	30	5
16	43	30	4
16	48	43	10
16	43	30	7
10	30	0	15
16	48	43	12
10	47	1	15
16	48	43	13
16	43	30	5
16	43	30	5
16	43	30	6
16	48	43	12
6	48	0	26
16	43	30	0
16	48	43	12
16	43	30	5
16	43	30	5
16	43	30	5
6	33	0	25
14	45	0	12
10	49	1	17
16	43	30	5
16	43	30	4
16	43	30	5
16	43	30	5
16	48	43	11
16	43	30	4
16	48	43	9
16	43	30	6
16	48	43	10
16	43	30	5
16	43	30	5
16	48	43	12
14	47	0	20
16	48	43	12
16	43	30	5
13	44	46	0
16	43	30	5
16	43	30	7
16	43	30	5
16	43	30	8
16	48	43	9
16	48	43	12
10	50	0	21
6	49	2	25
16	43	30	5
6	49	2	24
14	47	0	17
16	43	30	5
16	43	30	6
16	43	30	5
16	43	30	5
16	43	30	5
16	43	30	4
16	43	30	6
16	43	30	6
16	43	30	6
10	49	1	15
14	45	0	10
16	43	30	0
16	43	30	5
16	43	30	4
16	43	30	6
16	48	43	9
16	43	30	2
16	48	43	13
16	43	30	5
16	43	30	5
16	48	43	10
16	43	30	4
16	43	30	5
16	48	43	9
16	48	43	12
16	43	30	5
16	43	30	8
16	43	30	5
16	43	30	5
16	43	30	5
13	31	28	4
16	48	43	12
16	43	30	6
16	43	30	5
16	43	30	5
16	43	30	5
16	48	43	12
16	48	43	12
16	48	43	9
16	43	30	8
16	48	43	12
6	48	0	26
6	50	1	24
16	43	30	6
16	48	43	11
16	43	30	5
16	48	43	10
14	45	0	13
9	39	63	0
16	43	30	5
16	43	30	4
16	43	30	8
16	43	30	5
16	43	30	5
16	43	30	6
16	48	43	12
16	43	30	6
16	43	30	5
16	43	30	5
16	43	30	5
16	48	43	11
11	2	1	15
16	43	30	5
16	43	30	5
16	43	30	6
16	43	30	5
13	31	28	4
16	43	30	5
16	43	30	5
16	43	30	6
16	48	43	9
16	48	43	12
16	43	30	4
16	43	30	6
16	43	30	5
16	48	43	12
16	48	43	10
16	43	30	5
16	43	30	4
16	43	30	5
14	45	0	12
16	48	43	12
16	43	30	6
16	43	30	5
16	48	43	9
16	48	43	10
16	43	30	5
16	43	30	5
16	43	30	5
14	45	0	12
16	43	30	5
14	45	0	12
14	49	0	18
16	43	30	5
16	43	30	5
14	47	0	18
16	43	30	5
10	42	1	10
16	43	30	6
14	47	0	19
14	45	0	12
16	48	43	12
16	43	30	5
16	48	43	10
16	48	43	12
16	48	43	12
16	43	30	5
14	45	0	12
10	50	0	28
16	43	30	5
14	45	0	10
16	48	43	9
16	43	30	5
16	43	30	5
6	49	2	23
16	43	30	5
16	43	30	3
16	43	30	5
14	45	0	12
16	43	30	5
16	48	43	10
16	48	43	10
16	48	43	9
10	42	1	13
9	50	29	0
16	48	43	12
16	43	30	5
16	48	43	10
16	48	43	12
16	43	30	5
6	49	2	25
16	43	30	5
16	48	43	12
16	43	30	5
16	48	43	13
16	43	30	5
16	48	43	10
6	49	2	22
16	43	30	7
10	49	1	17
16	43	30	3
16	43	30	5
16	48	43	12
16	48	43	10
16	48	43	10
16	48	43	10
16	48	43	9
16	48	43	9
16	48	43	12
11	2	1	14
16	43	30	5
16	43	30	5
16	48	43	10
16	48	43	12
16	43	30	8
16	43	30	6
16	43	30	6
16	43	30	5
16	43	30	6
11	1	0	19
16	43	30	6
16	43	30	5
16	43	30	6
16	48	43	12
16	43	30	5
16	48	43	13
16	48	43	12
16	48	43	12
16	43	30	6
16	43	30	5
16	43	30	6
16	43	30	8
16	43	30	5
16	43	30	8
16	43	30	6
16	43	30	7
10	50	0	24
16	43	30	8
16	43	30	6
16	48	43	9
16	43	30	3
16	48	43	12
16	43	30	6
16	43	30	5
16	43	30	7
16	43	30	5
16	43	30	6
16	48	43	9
16	43	30	5
16	48	43	8
16	43	30	5
16	43	30	5
16	43	30	5
16	48	43	10
16	43	30	2
14	42	55	2
16	48	43	9
16	43	30	3
16	43	30	6
16	48	43	13
1	1	1	10
14	49	0	22
16	48	43	9
16	43	30	5
16	43	30	4
16	43	30	5
16	43	30	5
16	43	30	6
10	30	0	15
16	48	43	9
16	43	30	4
16	43	30	5
16	43	30	5
16	43	30	6
16	43	30	6
16	43	30	6
16	43	30	8
16	43	30	6
16	43	30	5
16	43	30	6
16	48	43	12
6	49	2	19
9	50	29	0
16	43	30	6
16	51	49	5
16	43	30	6
16	43	30	9
16	43	30	5
16	43	30	5
16	48	43	12
10	50	0	25
16	43	30	5
16	43	30	6
16	43	30	5
14	45	0	10
16	43	30	5
14	49	0	21
10	50	0	29
16	48	43	13
16	43	30	6
16	43	30	5
16	48	43	12
16	48	43	12
16	43	30	4
16	48	43	11
16	43	30	4
10	33	0	25
14	45	0	13
16	43	30	5
16	43	30	5
11	2	1	15
16	48	43	12
16	43	30	5
16	48	43	12
16	43	30	5
16	43	30	5
16	43	30	5
14	45	0	11
16	48	43	12
6	49	2	21
16	43	30	8
16	43	30	5
16	43	30	4
16	48	43	10
6	48	0	25
16	43	30	4
16	43	30	6
16	48	43	12
16	43	30	5
16	43	30	6
16	43	30	7
6	49	2	28
16	48	43	12
10	50	0	26
16	48	43	10
11	1	0	18
16	48	43	12
16	43	30	5
16	43	30	6
10	50	0	28
14	45	0	9
16	43	30	6
16	43	30	5
16	43	30	7
16	43	30	7
16	48	43	12
16	48	43	12
16	48	43	8
16	48	43	11
16	48	43	10
16	43	30	6
16	43	30	5
16	43	30	6
6	49	2	21
16	43	30	6
16	43	30	7
16	43	30	6
16	48	43	9
16	48	43	12
16	43	30	5
16	43	30	3
16	43	30	5
16	48	43	10
16	48	43	12
16	43	30	5
6	48	0	25
16	48	43	12
16	43	30	5
16	43	30	4
6	48	0	23
16	48	43	9
10	49	1	15
16	43	30	6
16	48	43	12
11	2	1	15
14	45	0	12
16	43	30	6
16	43	30	6
16	43	30	7
16	48	43	12
16	43	30	6
14	45	0	12
10	33	0	25
16	48	43	12
9	50	29	0
10	50	0	28
11	43	78	2
16	43	30	7
16	43	30	5
16	48	43	12
16	48	43	12
16	43	30	7
14	42	55	2
16	48	43	9
16	43	30	5
16	48	43	9
16	43	30	5
14	45	0	12
16	48	43	13
16	43	30	8
16	48	43	12
16	43	30	6
16	43	30	5
16	43	30	7
16	43	30	3
14	47	0	21
16	43	30	7
16	43	30	5
16	43	30	5
10	50	0	28
16	43	30	3
16	43	30	7
16	43	30	5
16	48	43	9
6	49	2	24
16	43	30	5
16	48	43	12
16	48	43	11
16	43	30	5
16	48	43	10
16	43	30	7
16	43	30	4
16	48	43	9
14	49	0	21
14	45	0	11
16	48	43	12
16	48	43	9
16	43	30	5
6	49	2	22
16	43	30	5
16	43	30	4
16	48	43	8
10	30	0	15
11	2	1	15
16	43	30	5
16	43	30	4
13	31	28	4
16	43	30	9
16	43	30	6
14	45	0	9
16	43	30	5
16	43	30	5
10	47	1	15
16	48	43	13
6	48	0	25
10	33	0	25
16	48	43	9
14	45	0	12
16	43	30	5
16	43	30	5
16	43	30	6
16	43	30	6
16	43	30	6
14	49	0	21
16	43	30	5
16	48	43	12
14	42	55	2
6	49	2	22
16	48	43	12
6	48	0	28
9	49	54	0
10	50	0	25
16	43	30	5
16	43	30	3
16	43	30	7
12	44	31	0
16	43	30	6
16	43	30	5
16	43	30	3
14	49	0	21
10	50	0	28
14	47	0	20
16	43	30	7
6	50	0	21
16	48	43	12
16	43	30	4
16	43	30	6
16	43	30	5
16	43	30	5
14	49	0	17
16	48	43	9
16	43	30	5
1	1	1	8
16	48	43	12
16	43	30	7
16	43	30	3
16	43	30	7
16	48	43	9
16	43	30	5
16	43	30	6
16	43	30	7
16	45	45	6
10	49	1	17
16	48	43	9
16	43	30	7
16	43	30	5
16	43	30	5
14	47	0	18
16	48	43	9
14	45	0	9
16	48	43	9
11	2	1	13
14	47	0	21
10	50	0	23
16	43	30	5
16	43	30	5
16	48	43	9
16	48	43	10
10	33	0	21
14	49	0	21
16	43	30	6
16	48	43	9
16	48	43	12
16	43	30	6
16	43	30	7
14	47	0	21
16	43	30	5
16	43	30	6
16	43	30	7
16	48	43	11
16	43	30	6
16	43	30	7
9	39	63	0
16	43	30	7
16	43	30	6
10	50	0	25
16	43	30	5
16	43	30	5
16	48	43	10
16	48	43	11
16	43	30	5
16	43	30	5
16	48	43	9
6	48	0	23
16	48	43	13
16	43	30	6
16	48	43	10
16	43	30	7
10	50	0	23
9	50	29	0
16	43	30	4
16	48	43	12
16	48	43	11
16	48	43	12
16	43	30	5
16	43	30	4
16	45	45	1
16	43	30	5
16	43	30	5
16	43	30	7
16	43	30	5
16	48	43	11
16	43	30	5
16	43	30	7
16	43	30	5
1	1	1	12
16	43	30	6
16	43	30	9
16	43	30	5
16	43	30	6
16	48	43	12
16	43	30	5
10	50	0	22
16	43	30	3
16	48	43	9
16	43	30	6
16	43	30	4
16	43	30	5
16	48	43	13
10	49	1	18
16	43	30	6
14	42	55	2
16	43	30	7
16	48	43	10
16	43	30	8
16	43	30	5
16	43	30	3
16	43	30	4
16	43	30	5
16	48	43	12
16	48	43	10
16	48	43	12
14	49	0	21
16	48	43	12
16	48	43	9
16	43	30	5
16	43	30	5
16	43	30	6
16	48	43	10
16	48	43	12
16	43	30	6
16	43	30	4
16	43	30	6
16	43	30	6
16	48	43	10
16	48	43	12
16	43	30	5
14	47	0	21
10	50	0	25
16	43	30	5
16	43	30	5
16	43	30	5
16	43	30	6
16	43	30	4
16	43	30	5
6	48	0	25
16	48	43	12
16	43	30	6
16	48	43	9
16	43	30	5
6	48	0	27
10	50	0	28
16	43	30	6
16	43	30	9
14	45	0	9
16	43	30	5
16	43	30	5
16	43	30	5
16	43	30	5
16	48	43	12
16	43	30	5
16	43	30	7
16	43	30	5
16	48	43	9
16	43	30	5
13	31	28	5
6	49	2	24
16	43	30	8
16	43	30	7
10	50	0	25
16	43	30	5
16	43	30	5
16	43	30	7
11	2	1	13
16	43	30	5
16	48	43	12
16	48	43	12
16	43	30	4
11	2	1	15
16	48	43	9
16	43	30	8
16	43	30	3
11	43	78	3
16	43	30	5
10	33	0	25
16	43	30	5
16	43	30	5
14	45	0	12
16	48	43	10
16	43	30	5
14	50	0	8
16	48	43	12
10	32	0	18
16	43	30	5
16	43	30	5
16	43	30	6
16	43	30	6
16	43	30	2
16	43	30	5
16	43	30	7
16	43	30	8
16	48	43	12
16	43	30	5
10	50	0	21
1	1	1	10
14	45	0	12
16	43	30	6
9	39	63	0
16	43	30	7
16	48	43	9
16	43	30	6
16	43	30	6
16	48	43	9
16	43	30	5
16	43	30	5
16	48	43	9
16	43	30	6
10	30	0	15
16	43	30	6
16	43	30	6
16	48	43	11
16	43	30	5
16	48	43	13
16	48	43	12
16	43	30	6
16	48	43	10
14	45	0	13
14	45	0	12
16	43	30	3
16	48	43	10
16	43	30	5
16	43	30	5
16	43	30	5
16	48	43	10
16	48	43	10
16	43	30	5
16	43	30	5
16	48	43	12
16	48	43	13
16	43	30	5
16	43	30	5
14	49	0	21
16	48	43	12
14	45	0	9
16	48	43	12
14	49	0	19
16	48	43	9
16	43	30	5
16	48	43	13
16	48	43	10
6	48	0	24
16	48	43	12
16	43	30	5
16	43	30	5
9	49	52	0
16	48	43	12
16	43	30	5
1	1	1	10
6	48	0	24
14	45	0	10
16	43	30	5
16	48	43	11
16	43	30	7
16	43	30	3
13	31	28	5
16	48	43	10
16	48	43	9
6	49	2	20
16	43	30	5
16	48	43	9
14	47	0	21
16	48	43	8
16	43	30	5
16	43	30	7
16	43	30	5
16	48	43	9
16	43	30	5
16	43	30	3
16	43	30	7
16	48	43	9
16	43	30	4
16	43	30	6
16	43	30	5
16	43	30	5
16	43	30	7
16	43	30	5
16	48	43	13
16	48	43	13
10	50	0	28
16	43	30	5
16	43	30	7
11	2	1	12
14	45	0	8
16	43	30	5
16	48	43	10
16	43	30	5
16	48	43	10
16	43	30	5
16	43	30	5
16	48	43	12
16	43	30	5
14	45	0	12
16	43	30	5
16	43	30	7
16	43	30	7
16	48	43	10
16	48	43	12
16	48	43	12
6	49	2	22
16	48	43	9
16	43	30	5
16	43	30	5
16	43	30	7
16	43	30	6
16	43	30	5
14	45	0	9
14	45	0	11
16	43	30	5
16	48	43	10
16	43	30	5
16	43	30	5
16	43	30	5
11	6	0	8
16	48	43	12
14	45	0	12
16	48	43	9
16	43	30	4
16	48	43	9
10	47	1	15
16	48	43	12
16	48	43	9
16	43	30	5
6	49	1	21
16	48	43	12
16	43	30	5
16	48	43	10
16	43	30	8
16	43	30	5
16	43	30	7
16	48	43	12
16	43	30	5
16	43	30	5
16	48	43	10
16	43	30	5
16	43	30	6
16	43	30	5
16	43	30	5
16	43	30	5
16	43	30	4
16	43	30	5
16	48	43	7
16	48	43	13
16	43	30	7
11	2	1	15
16	48	43	12
16	43	30	7
16	48	43	10
10	47	1	15
16	43	30	8
10	50	0	25
14	45	0	13
16	48	43	12
16	43	30	6
6	49	1	22
16	48	43	9
16	43	30	6
16	43	30	8
16	43	30	5
16	43	30	5
16	48	43	12
16	48	43	9
16	43	30	7
16	43	30	6
16	43	30	8
16	43	30	6
16	43	30	6
16	43	30	4
16	43	30	5
16	43	30	6
16	43	30	5
14	49	0	21
16	43	30	5
16	43	30	7
16	43	30	7
16	43	30	5
16	48	43	12
10	50	0	28
16	43	30	3
16	48	43	12
16	43	30	6
16	43	30	5
16	43	30	6
16	43	30	5
16	45	45	4
16	48	43	10
16	48	43	9
16	43	30	6
14	45	0	11
9	39	63	0
16	43	30	3
2	43	0	18
16	43	30	6
16	43	30	6
16	48	43	8
16	48	43	12
9	39	63	0
16	43	30	7
16	43	30	5
10	50	0	28
16	43	30	5
9	39	63	0
16	43	30	5
14	49	0	20
16	43	30	6
16	48	43	12
16	43	30	5
16	43	30	5
16	43	30	6
10	50	0	24
16	43	30	5
16	43	30	5
16	43	30	6
10	50	0	25
16	43	30	4
16	48	43	9
16	43	30	5
10	49	1	19
16	43	30	7
16	48	43	12
16	48	43	9
16	48	43	9
16	43	30	5
16	48	43	12
16	43	30	4
16	43	30	5
16	48	43	11
16	48	43	9
16	43	30	6
16	43	30	5
16	43	30	6
16	48	43	12
16	48	43	13
16	48	43	10
14	45	0	10
16	48	43	9
16	43	30	5
16	43	30	3
16	43	30	5
14	45	0	10
10	50	0	25
14	45	0	10
16	48	43	12
16	43	30	3
16	43	30	5
16	48	43	9
16	43	30	5
16	43	30	7
16	43	30	5
6	48	0	26
16	43	30	5
16	43	30	5
16	43	30	5
16	43	30	6
16	48	43	12
16	43	30	5
16	48	43	9
16	48	43	10
16	43	30	4
16	43	30	5
6	48	0	25
16	43	30	6
16	43	30	5
10	50	0	25
16	48	43	10
16	43	30	5
16	43	30	5
16	43	30	7
16	43	30	5
16	48	43	10
16	43	30	5
9	49	52	0
16	48	43	8
16	48	43	14
1	1	1	12
16	43	30	9
16	43	30	5
16	43	30	5
16	43	30	5
16	43	30	5
16	48	43	10
16	48	43	10
16	43	30	8
16	48	43	12
6	48	0	28
16	43	30	5
16	48	43	10
16	43	30	5
10	50	0	28
16	48	43	12
16	43	30	5
16	43	30	5
16	43	30	4
16	43	30	6
14	47	0	21
16	43	30	7
16	43	30	5
16	43	30	7
16	43	30	4
16	48	43	10
16	45	28	3
16	48	43	9
6	49	2	22
16	48	43	10
16	43	30	7
16	48	43	11
10	30	0	20
10	50	0	25
16	43	30	7
16	48	43	10
16	43	30	5
16	43	30	5
16	43	30	5
16	43	30	5
6	50	0	21
16	48	43	10
16	48	43	10
16	43	30	5
16	48	43	9
16	43	30	3
16	43	30	5
16	43	30	6
16	43	30	5
6	49	2	22
16	43	30	7
16	43	30	7
16	43	30	5
16	43	30	5
10	30	0	15
16	43	30	6
16	43	30	7
6	48	0	25
16	43	30	9
16	48	43	12
16	43	30	7
10	50	0	29
16	48	43	12
16	43	30	4
14	47	0	21
10	30	0	18
16	43	30	6
16	43	30	5
16	48	43	9
16	43	30	5
16	43	30	3
16	43	30	4
16	43	30	6
16	48	43	9
14	47	0	20
2	37	0	17
16	43	30	5
16	43	30	5
16	43	30	6
16	43	30	5
16	43	30	5
10	33	0	24
6	46	0	28
16	43	30	5
16	43	30	6
16	48	43	9
16	48	43	10
16	48	43	10
16	43	30	6
13	31	28	3
16	43	30	5
6	33	0	24
16	48	43	9
6	49	2	21
16	43	30	5
16	48	43	13
14	45	0	10
16	48	43	10
16	43	30	5
16	48	43	10
1	1	1	12
10	33	0	25
16	43	30	5
16	48	43	10
16	43	30	5
16	43	30	5
16	43	30	5
16	43	30	5
16	48	43	9
16	43	30	5
6	48	0	21
16	43	30	5
16	48	43	12
14	45	0	10
6	48	0	28
16	48	43	12
16	48	43	12
16	43	30	3
10	49	1	17
16	48	43	12
6	49	2	25
16	43	30	5
16	43	30	4
16	43	30	7
16	43	30	7
16	48	43	9
16	43	30	5
1	5	0	12
16	43	30	4
14	49	0	21
16	43	30	6
16	48	43	10
16	48	43	12
16	43	30	7
16	43	30	4
16	43	30	5
9	49	52	0
16	43	30	5
16	43	30	7
16	48	43	11
16	48	43	9
16	43	30	5
16	43	30	5
16	48	43	9
3	8	1	20
16	43	30	8
16	43	30	5
16	43	30	2
16	43	30	5
14	50	0	8
16	48	43	10
16	43	30	4
16	43	30	5
9	50	29	0
16	43	30	7
16	43	30	7
14	45	0	10
16	48	43	12
10	30	0	15
14	45	0	12
10	50	0	24
16	43	30	5
16	43	30	5
16	43	30	5
16	48	43	10
16	48	43	12
14	47	0	21
16	43	30	6
16	43	30	6
16	48	43	12
14	47	0	20
16	43	30	7
16	48	43	10
16	43	30	4
10	50	0	28
16	43	30	5
16	43	30	5
16	43	30	5
16	43	30	6
16	43	30	4
16	43	30	8
14	49	0	20
16	43	30	5
13	31	28	5
16	43	30	5
16	43	30	8
14	45	0	10
16	43	30	5
16	43	30	4
6	49	2	21
16	43	30	5
16	48	43	9
16	43	30	5
16	43	30	7
14	42	55	1
16	48	43	10
16	43	30	7
6	49	2	21
16	48	43	8
10	34	0	9
16	43	30	7
6	49	2	20
10	50	0	25
16	48	43	10
9	39	63	0
16	43	30	7
16	43	30	4
16	48	43	12
6	49	2	23
16	43	30	5
16	48	43	12
10	50	0	24
16	48	43	10
16	43	30	5
16	48	43	9
16	48	43	7
16	43	30	6
16	48	43	10
14	45	0	10
11	2	1	15
14	45	0	12
16	48	43	10
11	12	0	14
16	43	30	7
16	43	30	5
16	48	43	7
16	43	30	5
16	48	43	12
16	48	43	12
14	42	55	5
16	43	30	4
16	48	43	9
16	43	30	7
16	48	43	10
16	43	30	4
16	43	30	5
16	48	43	9
16	43	30	5
16	48	43	12
16	43	30	7
16	43	30	5
16	43	30	5
16	48	43	10
16	48	43	12
10	50	0	24
16	48	43	10
16	43	30	6
16	48	43	12
16	43	30	5
16	48	43	9
14	49	0	18
16	43	30	5
16	48	43	10
14	45	0	12
16	43	30	5
16	43	30	5
16	43	30	5
16	43	30	5
16	48	43	12
6	50	1	21
16	43	30	6
10	30	0	15
16	43	30	6
11	2	1	15
16	43	30	5
16	43	30	7
16	43	30	5
16	48	43	12
16	43	30	5
16	48	43	12
16	43	30	5
16	43	30	4
16	43	30	5
16	43	30	5
16	48	43	10
16	48	43	8
16	48	43	10
16	43	30	5
16	43	30	5
16	43	30	5
16	48	43	11
16	43	30	3
16	43	30	5
16	43	30	7
16	48	43	12
16	48	43	13
16	48	43	12
16	43	30	5
11	2	1	15
16	43	30	5
16	43	30	8
16	43	30	3
6	49	2	21
14	45	0	13
16	43	30	7
14	49	0	21
16	43	30	5
6	48	0	22
16	43	30	5
16	48	43	10
16	48	43	12
6	48	0	26
16	43	30	5
16	43	30	6
16	43	30	6
10	50	0	23
16	43	30	7
16	43	30	8
16	48	43	12
16	43	30	5
16	43	30	6
16	43	30	6
